researcher,title,authors,value of cited by,year
Sylvie Galichet,Fuzzy controllers: synthesis and equivalences,"S Galichet, L Foulloy",329,1995
Sylvie Galichet,On joint parameterizations of linear and nonlinear functionals in neural networks,"AM Atto, S Galichet, D Pastor, N Méger",114,2023
Sylvie Galichet,Application of fuzzy logic control for continuous casting mold level control,"M Dussud, S Galichet, LP Foulloy",108,1998
Sylvie Galichet,Nonlinear internal model control: Application of inverse model based fuzzy control,"R Boukezzoula, S Galichet, L Foulloy",107,2003
Sylvie Galichet,Structure identification and parameter optimization for non-linear fuzzy modeling,"A Evsukoff, ACS Branco, S Galichet",97,2002
Sylvie Galichet,A revisited approach to linear fuzzy regression using trapezoidal fuzzy intervals,"A Bisserier, R Boukezzoula, S Galichet",76,2010
Sylvie Galichet,Linear fuzzy regression using trapezoidal fuzzy intervals,"A Bisserier, R Boukezzoula, S Galichet",59,2010
Sylvie Galichet,MIN and MAX operators for fuzzy intervals and their potential use in aggregation operators,"R Boukezzoula, S Galichet, L Foulloy",55,2007
Sylvie Galichet,Typology of fuzzy controllers,"L Foulloy, S Galichet",46,1995
Sylvie Galichet,Explicit analytical formulation and exact inversion of decomposable fuzzy systems with singleton consequents,"S Galichet, R Boukezzoula, L Foulloy",43,2004
Sylvie Galichet,Statistical and fuzzy models of ambulatory systolic blood pressure for hypertension diagnosis,"S Charbonnier, S Galichet, G Mauris, JP Siché",43,1999
Sylvie Galichet,Extended gradual interval (EGI) arithmetic and its application to gradual weighted averages,"R Boukezzoula, S Galichet, L Foulloy, M Elmasry",40,2014
Sylvie Galichet,Fuzzy control with fuzzy inputs,"L Foulloy, S Galichet",40,2003
Sylvie Galichet,Inverse controller design for fuzzy interval systems,"R Boukezzoula, L Foulloy, S Galichet",39,2006
Sylvie Galichet,Imprecise specification of ill-known functions using gradual rules,"S Galichet, D Dubois, H Prade",39,2004
Sylvie Galichet,A Midpoint–Radius approach to regression with interval data,"R Boukezzoula, S Galichet, A Bisserier",37,2011
Sylvie Galichet,Fuzzy feedback linearizing controller and its equivalence with the fuzzy nonlinear internal model control structure,"R Boukezzoula, S Galichet, L Foulloy",37,2007
Sylvie Galichet,An educational tool for fuzzy control,"L Foulloy, R Boukezzoula, S Galichet",37,2006
Sylvie Galichet,Design of interpretable fuzzy rule-based classifiers using spectral analysis with structure and parameters optimization,"AG Evsukoff, S Galichet, BSLP de Lima, NFF Ebecken",35,2009
