researcher,title,authors,value of cited by,year
Guillaume Ginolhac,"""Principal component inverse"" algorithm for detection in the presence of reverberation","G Ginolhac, G Jourdain",91,2002
Guillaume Ginolhac,Robust adaptive detection of buried pipes using GPR,"Q Hoarau, G Ginolhac, AM Atto, JM Nicolas",61,2017
Guillaume Ginolhac,Low-complexity algorithms for low rank clutter parameters estimation in radar systems,"Y Sun, A Breloy, P Babu, DP Palomar, F Pascal, G Ginolhac",60,2015
Guillaume Ginolhac,Performance of two low-rank STAP filters in a heterogeneous noise,"G Ginolhac, P Forster, F Pascal, JP Ovarlez",54,2012
Guillaume Ginolhac,Intrinsic Cramér–Rao bounds for scatter and shape matrices estimation in CES distributions,"A Breloy, G Ginolhac, A Renaux, F Bouchard",45,2018
Guillaume Ginolhac,Detection in presence of reverberation,"G Ginolhac, G Jourdain",38,2000
Guillaume Ginolhac,New robust statistics for change detection in time series of multivariate SAR images,"A Mian, G Ginolhac, JP Ovarlez, AM Atto",37,2018
Guillaume Ginolhac,Multistatic and multiple frequency imaging resolution analysis-application to GPS-based multistatic radar,"F Daout, F Schmitt, G Ginolhac, P Fargette",36,2012
Guillaume Ginolhac,Exploiting persymmetry for low-rank space time adaptive processing,"G Ginolhac, P Forster, F Pascal, JP Ovarlez",33,2014
Guillaume Ginolhac,Robust covariance matrix estimation in heterogeneous low rank context,"A Breloy, G Ginolhac, F Pascal, P Forster",32,2016
Guillaume Ginolhac,Clutter subspace estimation in low rank heterogeneous noise context,"A Breloy, G Ginolhac, F Pascal, P Forster",32,2015
Guillaume Ginolhac,Numerical performance of a tensor MUSIC algorithm based on HOSVD for a mixture of polarized sources,"M Boizard, G Ginolhac, F Pascal, S Miron, P Forster",31,2013
Guillaume Ginolhac,New SAR processor based on matched subspace detectors,"R Durand, G Ginolhac, L Thirion, P Forster",26,2009
Guillaume Ginolhac,Three-mode data set analysis using higher order subspace method: application to sonar and seismo-acoustic signal processing,"N Le Bihan, G Ginolhac",25,2004
Guillaume Ginolhac,Spatio-temporal adaptive detector in non-homogeneous and low-rank clutter,"G Ginolhac, P Forster, JP Ovarlez, F Pascal",24,2009
Guillaume Ginolhac,Robust low-rank covariance matrix estimation with a general pattern of missing values,"A Hippert-Ferrer, MN El Korso, A Breloy, G Ginolhac",23,2022
Guillaume Ginolhac,Design of new wavelet packets adapted to high-resolution SAR images with an application to target detection,"A Mian, JP Ovarlez, AM Atto, G Ginolhac",23,2019
Guillaume Ginolhac,Derivation of the theoretical performance of a Tensor MUSIC algorithm,"P Forster, G Ginolhac, M Boizard",23,2016
Guillaume Ginolhac,"Multifrequency and multistatic inverse synthetic aperture radar, with application to FM passive radar","G Ginolhac, F Schmitt, F Daout, P Forster",23,2009
Guillaume Ginolhac,Morphological and statistical approaches to improve detection in the presence of reverberation,"G Ginolhac, J Chanussot, C Hory",21,2005
Guillaume Ginolhac,Random matrix improved covariance estimation for a large class of metrics,"M Tiomoko, R Couillet, F Bouchard, G Ginolhac",16,2019
Guillaume Ginolhac,Back projection version of subspace detector SAR processors,"R Durand, G Ginolhac, L Thirion-Lefevre, P Forster",16,2011
Guillaume Ginolhac,Riemannian geometry for compound Gaussian distributions: Application to recursive change detection,"F Bouchard, A Mian, J Zhou, S Said, G Ginolhac, Y Berthoumieu",15,2020
Guillaume Ginolhac,Performances of low rank detectors based on random matrix theory with application to STAP,"A Combernoux, F Pascal, M Lesturgie, G Ginolhac",15,2014
Guillaume Ginolhac,New SAR target imaging algorithm based on oblique projection for clutter reduction,"F Brigui, G Ginolhac, L Thirion-Lefevre, P Forster",15,2014
Guillaume Ginolhac,GPS ISAR passive system characterization using point spread function,"F Maussang, F Daout, G Ginolhac, F Schmitt",15,2008
Guillaume Ginolhac,Subspace methods for 3D arrays,"N Le Bihan, G Ginolhac",15,2001
Guillaume Ginolhac,A Riemannian framework for low-rank structured elliptical models,"F Bouchard, A Breloy, G Ginolhac, A Renaux, F Pascal",14,2021
Guillaume Ginolhac,Robust rank constrained kronecker covariance matrix estimation,"A Breloy, Y Sun, P Babu, G Ginolhac, DP Palomar",14,2016
Guillaume Ginolhac,New SAR algorithm based on orthogonal projections for MMT detection and interference reduction,"F Brigui, L Thirion-Lefevre, G Ginolhac, P Forster",14,2013
Guillaume Ginolhac,Multivariate change detection on high resolution monovariate SAR image using linear time-frequency analysis,"A Mian, JP Ovarlez, G Ginolhac, A Atto",13,2017
Guillaume Ginolhac,Maximum likelihood estimation of clutter subspace in non homogeneous noise context,"A Breloy, L Le Magoarou, G Ginolhac, F Pascal, P Forster",13,2013
Guillaume Ginolhac,Derivation of the bias of the normalized sample covariance matrix in a heterogeneous noise with application to low rank STAP filter,"G Ginolhac, P Forster, F Pascal, JP Ovarlez",13,2011
Guillaume Ginolhac,Probabilistic PCA from heteroscedastic signals: geometric framework and application to clustering,"A Collas, F Bouchard, A Breloy, G Ginolhac, C Ren, JP Ovarlez",12,2021
Guillaume Ginolhac,Robust low-rank change detection for multivariate sar image time series,"A Mian, A Collas, A Breloy, G Ginolhac, JP Ovarlez",12,2020
Guillaume Ginolhac,Robust adaptive detection of buried pipes using GPR,"Q Hoarau, G Ginolhac, AM Atto, JM Nicolas, JP Ovarlez",12,2016
Guillaume Ginolhac,A new tool for multidimensional low-rank STAP filter: Cross HOSVDs,"M Boizard, G Ginolhac, F Pascal, P Forster",11,2012
Guillaume Ginolhac,New polarimetric signal subspace detectors for SAR processors,"F Brigui, L Thirion-Lefevre, G Ginolhac, P Forster",11,2010
Guillaume Ginolhac,Robust mean and covariance matrix estimation under heterogeneous mixed-effects model with missing values,"AH Ferrer, MN El Korso, A Breloy, G Ginolhac",10,2021
Guillaume Ginolhac,New low-rank filters for MIMO-STAP based on an orthogonal tensorial decomposition,"F Brigui, M Boizard, G Ginolhac, F Pascal",10,2017
Guillaume Ginolhac,Low-rank filter and detector for multidimensional data based on an alternative unfolding HOSVD: application to polarimetric STAP,"M Boizard, G Ginolhac, F Pascal, P Forster",10,2014
Guillaume Ginolhac,SAR processors based on signal or interference subspace detector,"G Ginolhac, L Thirion-Lefevre, R Durand, P Forster",10,2010
Guillaume Ginolhac,Multistatic scenarios for a GPS SAR system,"F Maussang, F Daout, G Ginolhac, F Schmitt",10,2008
Guillaume Ginolhac,Robust phase linking in InSAR,"PVH Vu, A Breloy, F Brigui, Y Yan, G Ginolhac",9,2023
Guillaume Ginolhac,Multivariate statistical modeling for multi-temporal SAR change detection using wavelet transforms,"N Bouhlel, G Ginolhac, E Jolibois, A Atto",9,2015
Guillaume Ginolhac,Asymptotic performance of the low rank adaptive normalized matched filter in a large dimensional regime,"A Combernoux, F Pascal, G Ginolhac, M Lesturgie",9,2015
Guillaume Ginolhac,Traitement STAP et modélisation SIRV: Robustesse et Persymétrie,"JP Ovarlez, F Pascal, P Forster, G Ginolhac, M Mahot",9,2011
Guillaume Ginolhac,A new phase linking algorithm for multi-temporal InSAR based on the maximum likelihood estimator,"PVH Vu, F Brigui, A Breloy, Y Yan, G Ginolhac",8,2022
Guillaume Ginolhac,Riemannian geometry and Cramér-Rao bound for blind separation of Gaussian sources,"F Bouchard, A Breloy, A Renaux, G Ginolhac",8,2020
Guillaume Ginolhac,Performance of the low-rank adaptive normalized matched filter test under a large dimension regime,"A Combernoux, F Pascal, G Ginolhac",8,2018
Guillaume Ginolhac,A robust change detector for highly heterogeneous multivariate images,"A Mian, JP Ovarlez, G Ginolhac, AM Atto",8,2018
Guillaume Ginolhac,A robust signal subspace estimator,"A Breloy, Y Sun, P Babu, G Ginolhac, DP Palomar, F Pascal",8,2016
Guillaume Ginolhac,Robust estimation of the clutter subspace for a low rank heterogeneous noise under high clutter to noise ratio assumption,"A Breloy, G Ginolhac, F Pascal, P Forster",8,2014
Guillaume Ginolhac,Random matrix theory applied to low rank stap detection,"A Combernoux, F Pascal, G Ginolhac, M Lesturgie",8,2013
Guillaume Ginolhac,Low rank tensor STAP filter based on multilinear SVD,"M Boizard, G Ginolhac, F Pascal, P Forster",8,2012
Guillaume Ginolhac,Robust pca for through-the-wall radar imaging,"H Brehier, A Breloy, C Ren, I Hinostroza, G Ginolhac",7,2022
