researcher,title,authors,value of cited by,year
Didier Coquin,Understanding leaves in natural images–a model-based approach for tree species identification,"G Cerutti, L Tougne, J Mille, A Vacavant, D Coquin",159,2013
Didier Coquin,Dynamic hand gesture recognition using the skeleton of the hand,"B Ionescu, D Coquin, P Lambert, V Buzuloiu",137,2005
Didier Coquin,A parametric active polygon for leaf segmentation and shape estimation,"G Cerutti, L Tougne, A Vacavant, D Coquin",92,2011
Didier Coquin,Multi-sensor information fusion: Combination of fuzzy systems and evidence theory approaches in color recognition for the NAO humanoid robot,"R Boukezzoula, D Coquin, TL Nguyen, S Perrin",41,2018
Didier Coquin,Leaf margins as sequences: A structural approach to leaf identification,"G Cerutti, L Tougne, D Coquin, A Vacavant",41,2014
Didier Coquin,A model-based approach for compound leaves understanding and identification,"G Cerutti, L Tougne, J Mille, A Vacavant, D Coquin",41,2013
Didier Coquin,High-resolution prediction of organic matter concentration with hyperspectral imaging on a sediment core,"K Jacq, Y Perrette, B Fanget, P Sabatier, D Coquin, R Martinez-Lamas, ...",39,2019
Didier Coquin,Discrete distance operator on rectangular grids,"D Coquin, P Bolon",38,1995
Didier Coquin,Application of Baddeley's distance to dissimilarity measurement between gray scale images,"D Coquin, P Bolon",37,2001
Didier Coquin,Bark and leaf fusion systems to improve automatic tree species recognition,"S Bertrand, RB Ameur, G Cerutti, D Coquin, L Valet, L Tougne",36,2018
Didier Coquin,Guiding active contours for tree leaf segmentation and identification,"G Cerutti, L Tougne, J Mille, A Vacavant, D Coquin",35,2011
Didier Coquin,Improved cut detection for the segmentation of animation movies,"B Ionescu, V Buzuloiu, P Lambert, D Coquin",32,2006
Didier Coquin,Curvature-scale-based contour understanding for leaf margin shape recognition and species identification,"G Cerutti, L Tougne, D Coquin, A Vacavant",30,2013
Didier Coquin,A fuzzy color-based approach for understanding animated movies content in the indexing task,"B Ionescu, D Coquin, P Lambert, V Buzuloiu",29,2008
Didier Coquin,Reves participation-tree species classification using random forests and botanical features,"G Cerutti, V Antoine, L Tougne, J Mille, L Valet, D Coquin, A Vacavant",25,2012
Didier Coquin,A decision-making computational methodology for a class of type-2 fuzzy intervals: An interval-based approach,"R Boukezzoula, D Coquin",24,2020
Didier Coquin,High-resolution grain size distribution of sediment core with hyperspectral imaging,"K Jacq, C Giguet-Covex, P Sabatier, Y Perrette, B Fanget, D Coquin, ...",24,2019
Didier Coquin,A skeletonization algorithm using chamfer distance transformation adapted to rectangular grids,"Y Chehadeh, D Coquin, P Bolon",24,1996
Didier Coquin,From fuzzy regression to gradual regression: Interval-based analysis and extensions,"R Boukezzoula, S Galichet, D Coquin",21,2018
Didier Coquin,Leaf species classification based on a botanical shape sub-classifier strategy,"H Liu, D Coquin, L Valet, G Cerutti",21,2014
Didier Coquin,XRF and hyperspectral analyses as an automatic way to detect flood events in sediment cores,"W Rapuc, K Jacq, AL Develle, P Sabatier, B Fanget, Y Perrette, D Coquin, ...",19,2020
Didier Coquin,Dissimilarity measures in color spaces,"D Coquin, P Bolon, B Ionescu",19,2002
Didier Coquin,A new methodology for solving fuzzy systems of equations: Thick fuzzy sets based approach,"R Boukezzoula, L Jaulin, D Coquin",17,2022
Didier Coquin,Gradual interval arithmetic and fuzzy interval arithmetic,"R Boukezzoula, L Foulloy, D Coquin, S Galichet",17,2021
Didier Coquin,Sedimentary structure discrimination with hyperspectral imaging in sediment cores,"K Jacq, W Rapuc, A Benoit, D Coquin, B Fanget, Y Perrette, P Sabatier, ...",16,2022
Didier Coquin,Animation movie abstraction: Key frame adaptative selection based on color histogram filtering,"L Ott, P Lambert, B Ionescu, D Coquin",16,2007
Didier Coquin,Animation movies trailer computation,"B Ionescu, P Lambert, D Coquin, L Ott, V Buzuloiu",15,2006
Didier Coquin,Late information fusion for multi-modality plant species identification,"G Cerutti, L Tougne, C Sacca, T Joliveau, PO Mazagol, D Coquin, ...",14,2013
