researcher,title,authors,value of cited by,year
Eric Benoit,Fuzzy symbolic sensors—From concept to applications,"G Mauris, E Benoit, L Foulloy",80,1994
Eric Benoit,The aggregation of complementary information via fuzzy sensors,"G Mauris, E Benoit, L Foulloy",65,1996
Eric Benoit,Symbolic sensors,"E Benoit, L Foulloy",30,1991
Eric Benoit,Towards fuzzy nominal scales,"E Benoit, L Foulloy",25,2003
Eric Benoit,Capteurs symboliques et capteurs flous: un nouveau pas vers l'intelligence,E Benoit,25,1993
Eric Benoit,Building a class of fuzzy equivalence relations,"L Foulloy, E Benoit",22,2006
Eric Benoit,"High functionalities for intelligent sensors, application to fuzzy colour sensor","E Benoit, L Foulloy",21,2001
Eric Benoit,Symbolic sensors: one solution to the numerical-symbolic interface,"E Benoit, L Foulloy",20,2007
Eric Benoit,Fuzzy sensor for gesture recognition based on motion and shape recognition of hand,"E Benoit, T Allevard, T Ukegawa, H Sawada",20,2003
Eric Benoit,Fuzzy linguistic methods for the aggregation of complementary sensor information,"G Mauris, E Benoit, L Foulloy",19,1998
Eric Benoit,The role of fuzzy scales in measurement theory,"E Benoit, L Foulloy",18,2013
Eric Benoit,Dynamic gesture recognition using signal processing based on fuzzy nominal scales,"T Allevard, E Benoit, L Foulloy",17,2005
Eric Benoit,Fuzzy glove for gesture recognition,"T Allevard, E Benoit, L Foulloy",16,2003
Eric Benoit,Fuzzy sensor for the perception of colour,"E Benoit, L Foulloy, S Galichet, G Mauris",16,1994
Eric Benoit,A fuzzy colour sensor,"E Benoit, G Mauris, L Foulloy",16,1994
Eric Benoit,Local measurement validation for an intelligent chirped-FM ultrasonic range sensor,"G Mauris, E Benoit, L Foulloy",15,2000
Eric Benoit,Capteurs flous multicomposantes: application à la reconnaissance des couleurs,"E Benoit, L Foulloy",14,1993
Eric Benoit,Formal goal generation for intelligent control systems,"R Dapoigny, P Barlatier, L Foulloy, E Benoit",13,2005
Eric Benoit,"Fuzzy-based intelligent sensors: modeling, design, application","E Benoit, R Dapoigny, L Foulloy",13,2001
Eric Benoit,The aggregation of information by examples via fuzzy sensors,"G Mauris, E Benoit, L Foulloy",13,1994
Eric Benoit,A software tool for designing intelligent sensors,"E Benoit, J Tailland, L Foulloy, G Mauris",12,2000
Eric Benoit,Expression of uncertainty in fuzzy scales based measurements,E Benoit,10,2013
Eric Benoit,Gestures recognition based on the fusion of Hand positioning and Arm gestures,"D Coquin, E Benoit, H Sawada, B Ionescu",10,2006
Eric Benoit,Automatic code generation based on generic description of intelligent instrument,"S Perrin, E Benoit, L Foulloy",10,2002
Eric Benoit,Automatic smart sensors generation based on InOMs,"E Benoit, L Foulloy, J Tailland",10,2000
Eric Benoit,Fuzzy Sensor aggregation: Application to comfort measurement,"E Benoit, G Mauris, L Foulloy",10,1995
Eric Benoit,The transportation distance for fuzzy descriptions of measurement,"T Allevard, E Benoit, L Foulloy",9,2007
Eric Benoit,Distributed instruments for control and diagnosis applied to a water distribution system,"D Georges, E Benoit, A Chovin, D Koenig, B Marx, G Mauris",9,2002
Eric Benoit,Automatic generation of intelligent instruments from internal model,"J Tailland, L Foulloy, E Benoit",9,2000
Eric Benoit,Fuzzy components network for distributed intelligent systems,"JF Josserand, G Mauris, E Benoit, L Foulloy",9,1994
Eric Benoit,Ultrasonic smart sensors the importance of the measurement principle,"G Mauris, E Benoit, L Foulloy",9,1993
Eric Benoit,Human-centric point of view for a robot partner: A cooperative project between France and Japan,"M Jacquemont, J Woo, J Botzheim, N Kubota, N Sartori, E Benoit",8,2016
Eric Benoit,Hand posture recognition with the fuzzy glove,"T Allevard, E Benoit, L Foulloy",8,2006
Eric Benoit,Robust gesture recognition by possibilistic approach based on data resampling,H SAWADA,8,2004
Eric Benoit,Functional ontology for intelligent instruments,"R Dapoigny, E Benoit, L Foulloy",8,2003
Eric Benoit,InOMs model: A service based approach to intelligent instruments design,"E Benoit, L Foulloy, J Tailland",8,2001
Eric Benoit,Fuzzy sensors: an overview,"G Mauris, E Benoit, L Foulloy",8,1997
Eric Benoit,Fuzzy sensors for the fusion of information,"G Mauris, E Benoit, L Foulloy",8,1994
Eric Benoit,Applications of fuzzy sensors,"L Foulloy, E Benoit, G Mauris",8,1993
Eric Benoit,Fuzzy approaches for measurement,"E Benoit, L Foulloy, G Mauris",7,2005
Eric Benoit,Solutions surstables avec singularités au point tournant,E Benoît,6,2015
Eric Benoit,"Interaction between humans, NAO robot and multiple cameras for colored objects recognition using information fusion","TL Nguyen, R Boukezzoula, D Coquin, E Benoit, S Perrin",6,2015
Eric Benoit,Inferential Knowledge Sharing with Goal Hierarchies in Distributed Engineering Systems.,"R Dapoigny, P Barlatier, N Mellal, E Benoit, L Foulloy",6,2005
Eric Benoit,Fuzzy nominal scales,"E Benoit, L Foulloy",6,2002
Eric Benoit,Safe design of CANopen distributed Instruments,"E Benoit, A Chovin, L Foulloy, A Chatenay, G Mauris",6,2001
Eric Benoit,Subtle bifurcation in the vibration of a system with an interface nonlinearity,"JA Brandon, E Benoit, L Jezequel",6,1998
Eric Benoit,Fuzzy techniques for coffee flavour classification,"L Khodja, L Foulloy, E Benoit, T Talou",6,1996
Eric Benoit,Exemple de capteur symbolique flou en reconnaissance des couleurs,"E Benoit, L Foulloy",6,1993
Eric Benoit,Deriving behavior from goal structure for the intelligent control of physical systems,"R Dapoigny, P Barlatier, E Benoit, L Foulloy",5,2007
Eric Benoit,Service Integration in Distributed Control Systems: an approach based on fusion of mereologies,"R Dapoigny, N Mellal, E Benoit, L Foulloy",5,2004
Eric Benoit,Processorless smart sensors with distributed intelligence,"E Benoit, C Eric, L Foulloy",5,1997
Eric Benoit,Fuzzy clustering for color recognition application to image understanding,"L Khodja, L Foulloy, E Benoit",5,1996
Eric Benoit,An intelligent ultrasonic range finding sensor for robotics,"G Mauris, E Benoit, L Foulloy",5,1996
Eric Benoit,Fuzzy control with fuzzy state sensors,"L Foulloy, S Galichet, E Benoit",5,1994
Eric Benoit,Wiot: Interconnection between wise objects and iot,"I Alloui, E Benoit, S Perrin, F Vernier",4,2018
Eric Benoit,Integrating OPC Data into GSN Infrastructures,"O Passalacqua, E Benoit, MP Huget, P Moreaux",4,2008
